Tag,Headline,Summary,Link
Accountancy,"PwC tells 40,000 US staff they can work remotely permanently",Accounting firm’s employees in America risk a pay cut if they move to locations with lower cost of living,https://www.ft.com/content/70ce4afc-395b-48ea-88cc-7d0036b41b26
UK defence spending,UK military chiefs battle to become next head of armed forces,Top brass favour leader of cyber operations and special forces over high-profile sea lord,https://www.ft.com/content/3fb62ce8-ff6b-44bf-ab58-6dff15e77075
Currencies,Venezuela lops another six zeros off its currency,Maduro regime rolls out ‘digital bolívar’ in latest rebrand amid sky-high inflation and waning usage,https://www.ft.com/content/442387e7-c06c-4295-b907-2b4d0d5b11ac
The Big Read,Britain’s winter blues: ‘Christmas shortages are now a certainty’,"From petrol, gas and food supplies to hospitals under pressure, the UK could face a series of overlapping crises ",https://www.ft.com/content/1e93fab0-916e-4697-be8a-af02bde94411
The FT ViewThe editorial board,Global Britain is not enough: Bond and UK identity,Latest instalment of the franchise shows changing nature of the British elite,https://www.ft.com/content/838e1c3c-79ee-4b08-b450-96541ffad22d
Coronavirus treatment,Merck says Covid antiviral pill halves risk of hospitalisation and death,US pharma group seeks authorisation for first drug of its kind after ‘remarkable’ clinical trial  ,https://www.ft.com/content/e1a059dc-ab09-47c0-b7b9-2b79dd1c911b
Ecuador,US lawyer who battled Chevron in Ecuador sentenced for contempt,Judge gives Steven Donziger six-month jail term for ‘thumbing his nose at the US judicial system’,https://www.ft.com/content/97745c0d-2aa7-4484-99f5-0b0066ea073b
UK agriculture,Poland and France keep turkeys on Britain’s Christmas dinner menu,Imports from EU to fill gap after labour shortages force UK farmers to cut production,https://www.ft.com/content/b1924856-8547-4126-af2c-ae72e4920411
Christopher Caldwell,Republicans’ debt brinkmanship may be a winning strategy,"By invoking the country’s $28 trillion debt, they can cast the Democrats as profligates",https://www.ft.com/content/15e5fb2e-d3ec-4e0d-8a06-7ceb8fd9de69
The Road to Recovery,Inflation concerns intensify as cost of energy soars,Rising natural gas prices have helped push eurozone inflation to 13-year high,https://www.ft.com/content/01feb0dd-e80c-4d76-abff-73cc5bf88f79
Leila Abboud,"Fashion, fun and Fomo as Paris comes out to play ","From fashion shows to theatres and clubs, the French capital is humming once again",https://www.ft.com/content/aa314038-482d-449f-b7bf-52ad0919b96f
Scottish economy,London to press on with Scottish freeports despite SNP objections ,Edinburgh government has its own alternative plans to create ‘green ports’ model ,https://www.ft.com/content/8f2ca063-d1dc-4a5a-9f2f-119107b26863
Alexandra Heal,The police reluctance to confront abusive officers is damning,Sarah Everard’s murder is the latest in a long line of cases that show a life-threatening disregard for women,https://www.ft.com/content/b121ac01-4dcf-4e84-a478-1d8cad256c55
US Treasury bonds,Treasury bill market jolted as US debt ceiling fight drags on,Yields jump for bonds maturing after October date when government funds could run out,https://www.ft.com/content/8955de41-071a-4224-901f-03fe3f20b8bf
UK agriculture,Poland and France keep turkeys on Britain’s Christmas dinner menu,Imports from EU to fill gap after labour shortages force UK farmers to cut production,https://www.ft.com/content/b1924856-8547-4126-af2c-ae72e4920411
US foreign policy,Top US diplomat to visit Paris after Aukus submarine dust-up,Antony Blinken will make trip to France as Biden administration tries to soothe tensions raised by deal,https://www.ft.com/content/85164bed-1970-4dcc-aca5-ffce78042536
Christopher Caldwell,Republicans’ debt brinkmanship may be a winning strategy,"By invoking the country’s $28 trillion debt, they can cast the Democrats as profligates",https://www.ft.com/content/15e5fb2e-d3ec-4e0d-8a06-7ceb8fd9de69
The Road to Recovery,Inflation concerns intensify as cost of energy soars,Rising natural gas prices have helped push eurozone inflation to 13-year high,https://www.ft.com/content/01feb0dd-e80c-4d76-abff-73cc5bf88f79
EU enlargement,Slovenia urges EU to admit western Balkan states by 2030 ,Bloc divided over need for expansion and speed at which nations should be allowed in,https://www.ft.com/content/39750a50-faf3-4d25-afdd-f18ef9071e00
Leila Abboud,"Fashion, fun and Fomo as Paris comes out to play ","From fashion shows to theatres and clubs, the French capital is humming once again",https://www.ft.com/content/aa314038-482d-449f-b7bf-52ad0919b96f
Scottish economy,London to press on with Scottish freeports despite SNP objections ,Edinburgh government has its own alternative plans to create ‘green ports’ model ,https://www.ft.com/content/8f2ca063-d1dc-4a5a-9f2f-119107b26863
Alexandra Heal,The police reluctance to confront abusive officers is damning,Sarah Everard’s murder is the latest in a long line of cases that show a life-threatening disregard for women,https://www.ft.com/content/b121ac01-4dcf-4e84-a478-1d8cad256c55
US Treasury bonds,Treasury bill market jolted as US debt ceiling fight drags on,Yields jump for bonds maturing after October date when government funds could run out,https://www.ft.com/content/8955de41-071a-4224-901f-03fe3f20b8bf
Ethiopia,UN chief Guterres voices shock over Ethiopia expulsions,Decision by Addis Ababa to remove seven staff comes amid row over access to aid in Tigray region,https://www.ft.com/content/32878952-cf62-44e8-95aa-99e48a6cb3ac
UK universities,Cambridge sets guidelines to reduce overseas engagement risks,University addresses working with countries that ‘do not share the UK’s commitment to democracy’,https://www.ft.com/content/96d1efb7-49fc-49bb-b432-56dbcc18919a
UK property,Market for London’s top-end homes showing ‘signs of life’,Wealthy buyers look again at the capital as businesses edge back towards normal working conditions,https://www.ft.com/content/c20b4fcd-f43d-4452-a04b-be7ce88688fb
Japanese society,Japan’s Princess Mako defies criticism to marry commoner,Four-year battle to marry university sweetheart has obsessed the nation,https://www.ft.com/content/6ea93a03-b305-48f0-b49b-381c23f7d9bb
Travelista,Travel news: cool-as-ice escapes,Dream destinations around the world – from camping in the Antarctic to a storied St Barths retreat,https://www.ft.com/content/6779d405-77e4-4211-8e9e-d63ffa88e05f
Coal,China’s coal miners vow to ‘go all out’ to beat power crisis,Country’s big producers pledge to increase output as supply issues threaten economic growth,https://www.ft.com/content/4536bc72-6eb3-457d-b9a5-a94cc2669a96
UK politics & policy,Civil service grows fastest in London despite ‘levelling up’ pledges,"Headcount grew by 10,000 in capital last year, more than double the rate in the rest of the country",https://www.ft.com/content/b6d1947d-d1bb-4c22-ab41-b603448bc625
Laura Noonan,The joy of running with others is unmatched — even when socially distant,The London marathon returns and with each mile comes a chance to move past the loneliness of the pandemic,https://www.ft.com/content/acdd72fc-cab9-459e-ada6-77ab2df6c30a
Environment,Hole in the ozone layer widens as recovery remains in the distance,Damage hit near peak level last month because of seasonal factors and long-lived nature of CFCs,https://www.ft.com/content/302356b9-ccb5-4c83-a2c7-07b5447393b0
UK employment,Flexible working finds support from UK court rulings,Rule changes do not mean employers automatically have to accept requests — but legal landscape is shifting,https://www.ft.com/content/89d1e31d-ddc5-48ec-908b-55f40b46dfc5
Merryn Somerset Webb,Time for investors to focus on India,"Country offers opportunities, especially with China falling out of favour",https://www.ft.com/content/45e771b9-2ab1-4e40-b799-1a3e6b19adcc
AO World PLC,AO World shares plunge as driver shortages hit trading,Electronics group also cites fierce competition from online giants as reason for weak performance,https://www.ft.com/content/6bafe329-4403-4b04-805b-5683dd584458
Henry Mance,Will DeepMind weather forecasts ruin a national obsession?,AI algorithms can accurately predict rainfall but there are downsides to knowing everything,https://www.ft.com/content/6c76e699-111c-4c7d-b153-8a115d97bd9a
Retail sector,UK retailers step up battle to lure lorry drivers  ,Supermarkets criticised by haulage groups for distorting market after offering high pay rises and incentives,https://www.ft.com/content/2878a757-cbef-4c2c-ac57-b0279778c9e9
InterviewLunch with the FT,Thomas Chatterton Williams: ‘I never thought ideas were about signalling allegiance’,The writer talks about making enemies on the left and the right,https://www.ft.com/content/1bf6a540-0a7c-427f-9eea-b756acb81813
FT Swamp Notes,We should pay more heed to alarmists Premium content,Anyone who dismisses the spectre of Donald Trump being re-elected in 2024 is unwittingly conniving in its eventuality,https://www.ft.com/content/76be11a0-0130-49ae-bffd-cfcd456db501
The Top LineTom Braithwaite,Federal Reserve stock trading is dangerous,Officials should not be buying and selling individual company shares,https://www.ft.com/content/ca967ed3-4ebb-4164-ae81-231a45a93aca
OYO Rooms,Oyo aims to raise $1.1bn through planned IPO,SoftBank-backed hotel platform joins start-ups rushing to tap Indian stock market,https://www.ft.com/content/6b73cc6b-413f-432e-a9ca-beafdcf2da25
FirstFT,FirstFT: Investment bank fees exceed $100bn on M&A boom,"Deals hit record levels, US infrastructure vote postponed, stagflation fears intensify",https://www.ft.com/content/3f2e03b6-89c5-40fa-823e-a178ad7ca75b
News in-depthFT Series,Return of the Taliban,This series examines the way the Taliban are governing a country that has modernised and grown more complex over the past two decades,https://www.ft.com/content/944dd4a8-9520-4528-b099-2d7cc50644b2
FT SeriesAutumn Food & Drink Special,The pear is the prince of fruits. You just need to know when to eat them,"Wait until they’re properly ripe, writes Bee Wilson, and these autumn gems will reveal their magic",https://www.ft.com/content/b242f386-a4ae-4c7e-b368-ed3299e5b80e
German economy,German workers strike for higher pay as eurozone inflation surges,Economists fear further spiralling increases as 13-year high of 3.4% reached in September,https://www.ft.com/content/1241b033-6fe3-4cc0-95fc-befdfc7935ab
The FT ViewThe editorial board,The mixed success of furlough schemes,Governments should consider how to use job retention schemes in the next recession,https://www.ft.com/content/505e69e5-8e04-4cd2-ac44-804e507105c7
News in-depthUS politics & policy,Biden’s signature reforms jeopardised by Democratic infighting,Key vote delayed with party divided over focusing on infrastructure bill or tying it to broader welfare package,https://www.ft.com/content/0caae2a6-fc3a-4f05-94f8-2dc74fdbc995
How To Spend It,How Magnum got back in the picture ,"In a world where everyone is a photographer, the revered photo agency is rethinking its role",https://www.ft.com/content/0e269ecb-e717-41ee-aa91-df7b5e2ccfc4
Europe Express,Hungary and Poland face threat of fresh EU rule of law action Premium content,Brussels discusses taking first steps under the bloc’s new rule of law conditionality rules in coming weeks,https://www.ft.com/content/1e3e28cf-71ab-46c2-84fa-4600b4895e6b
Evergrande Real Estate Group,Evergrande bonds snapped up by distressed debt investors ,Funds bet Beijing will come to rescue of the world’s most highly leveraged developer,https://www.ft.com/content/1cf5bb08-e588-4790-987e-34aa3f5a604a
News in-depthCapital markets,Feeding frenzy hits new peaks as companies rush to raise funds,Debt and equity markets absorb new deals at startling pace,https://www.ft.com/content/90eb6460-1d11-4ed7-a6c0-3630632e7034
Private equity,Investment bank fees soar past $100bn on M&A boom,Deals hit record levels as cash-rich buyers refuse to balk at climbing prices,https://www.ft.com/content/a67e0300-98a8-4e29-890a-0949135933ba
German politics,Europe’s battered left draws comfort from Scholz victory in Germany,Centre-left parties across the continent are studying the SPD playbook for tips,https://www.ft.com/content/998d755a-6a2e-4f3e-b8f5-c4c891e5d34b
FT SeriesReturn of the Taliban,Taliban confront reality: ‘30m people to look after and no money’,Islamists’ on-the-spot punishments have driven down crime but economic woes are piling up,https://www.ft.com/content/fb9641e6-107d-4c84-9e5a-7b44969186cf
Venture capital investment,Investors surge into VCTs ahead of dividend tax increase,Tax breaks on the higher-risk asset class attract wealthy UK investors on the hunt for yield ,https://www.ft.com/content/8568de88-8a78-47ba-a0d0-30692be95de0
,Further reading,Minting coins; Merkel’s farewell; The Sopranos; and more. ,https://www.ft.com/content/64aab12a-8fee-4507-8f88-d54d7c013b89
Markets InsightMike Fulwood,Surging gas prices likely to reverse course,It would take a longer and colder winter than last year to see market pricing sustained above current levels,https://www.ft.com/content/f2ca6690-0390-4374-a9d5-29caf2d651dd
US politics & policy,Democrats delay make-or-break vote on Biden’s infrastructure bill,Postponement comes after White House fails to broker a deal between progressives and moderates,https://www.ft.com/content/736a947c-2f1d-4e93-ad2f-85aef7f5dbde
FT live news,News updates: California first US state to mandate vaccines for students — as it happened,Warnings that lockdowns were crippling businesses heaped pressure on Communist government,https://www.ft.com/content/bfa18b06-f983-4a55-b576-28b6bb57e0eb
Vietnam,Vietnam abandons zero-Covid strategy after record drop in GDP,Homegrown designers flourish abroad but only if they promote themselves,https://www.ft.com/content/37f7f400-20aa-4e52-8f3b-f9359fa73fe8
Special ReportWatches and Jewellery: Asia,South Korean jewellers fight for international recognition,Charities and NGOs issue global plea of support for female artisans who are still unclear as to their future,https://www.ft.com/content/c13ee28f-c389-4eb7-a1cb-1018ab048258
Special ReportWatches and Jewellery: Asia,Taliban takeover leaves Afghan jewellers in limbo,Company targets consumers in the UK and China with light-coloured stone available in large sizes,https://www.ft.com/content/e988d435-607a-4e0d-b03a-9f2c13053993
Special ReportWatches and Jewellery: Asia,Fuli’s peridot gem discovery captures designers’ imaginations,Groups report sharp fall in confidence since the summer amid mindset shift ‘from growing to coping’,https://www.ft.com/content/e2e42d30-0a3b-4d4e-8fd9-3cee7d7b29f0
News in-depthCryptocurrencies,Stakes rise for Singapore’s big crypto bet,China’s shunning of crypto transactions increases the potential prize and the perils for city-state,https://www.ft.com/content/1f948b38-2061-416d-951d-69415b879c17
Hungary,Klara Dobrev takes early lead in race to challenge Hungary PM Orban,Run-off in October to decide candidate with Budapest mayor Karacsony still tipped to lead opposition,https://www.ft.com/content/3d229053-6a19-449b-9977-6328906cd706
US equities,US stocks eke out smallest quarterly gain since pandemic,Losses in September nearly dragged the S&P 500 into the red for the period,https://www.ft.com/content/91d77327-f102-4caf-84b4-da2db4d644cc
France,France to block gas and electricity price rises until the spring,Paris to lower taxes paid on power as spectre of ‘gilets jaunes’ protests looms large,https://www.ft.com/content/f11a62dc-1a71-437f-a7a5-493bc4b1dcda
UK police,Met chief pledges force will learn lessons after being ‘rocked’ by Everard case,Dame Cressida Dick admits trust in force is ‘shaken’ after ex-officer is jailed for life for murder,https://www.ft.com/content/a7d5a7e2-d7cf-49e8-a53a-097fec92a743
#techFT,Facebook pressed on child harms data,"Elliott takes Toshiba stake, Oxford Nanopore surges, Deliveroo’s rapid Hop ",https://www.ft.com/content/e0d1d365-daa5-490d-b122-bc76cb62cea6
UK universities,Students push back against ‘YouTube’ learning as campuses reopen,Complaints that online classes are a poor substitute and cost-cutting exercise,https://www.ft.com/content/b80632a5-91a3-4f37-8d0c-b9f4499394d0
Gillian Tett,Politicians need to be more active when it comes to greenflation,Governments must come up with intelligent policies to soften the costs from climate change reforms,https://www.ft.com/content/4d278bdf-909e-4e40-947e-1e567426b492
UK politics & policy,UK supply chain problems spread deeper into the agriculture sector,Driver and labour shortages are putting at risk pumpkin distribution for Halloween and leaving a pig surplus ,https://www.ft.com/content/8c6fe84e-0dcb-4e12-8c76-2d63728fa792
Oil & Gas industry,Chinese energy order points to harsher gas crunch for Europe,Beijing reportedly demands energy supplies to keep factories working at all costs,https://www.ft.com/content/73c5aeb7-3d55-4405-97d5-ff44057855cc
FT AlphavilleUS government shutdown,#Mintthecoin to avoid societal collapse?,The MMT solution raises its dismal head again.,https://www.ft.com/content/a102d4cd-c264-406a-b853-b2999a64aa07
LexToshiba Corp,Toshiba/Elliott: activists poised to win a company reboot Premium content,Monetisation of the conglomerate’s assets will be difficult to avoid,https://www.ft.com/content/386c643d-9951-41b5-a270-73be0c42eea7
Facebook Inc,Facebook pressed to release research on how its platforms affect users,Head of safety defends social media group after report it buried research into mental health impact,https://www.ft.com/content/b0e387f4-4a2f-49d3-9852-f8cf7dcc211c
The FT ViewThe editorial board,Irish bank pay curbs risk more harm than good,"As the government plans a return to normality, it should jettison salary caps",https://www.ft.com/content/e58feb1e-ce1d-453a-8de3-c3d1cf229c26
Chris Giles,Sunak faces the brutal maths of electric vehicles,The government must recoup the losses of switching away from petrol cars,https://www.ft.com/content/9f498c0c-4668-47ca-8874-a327e6f11aeb
Brexit Briefing,How does Labour move on from Brexit? Premium content,The opposition realised this week it faces a hard task normalising relations with the EU while not upsetting those who voted Leave  ,https://www.ft.com/content/4e27ff06-6481-4058-98d3-c4d62ea91280
How To Spend It,How to Spend It in... Sonoma Valley,Restaurateurs Kyle and Katina Connaughton on the gastronomic delights of the Californian wine region,https://www.ft.com/content/b30652fe-f6fc-45db-9828-6a9e00ede3c5
Cryptocurrencies,"Central bank digital currencies may not replace crypto, BIS says",Policymakers worry that growth of cryptocurrencies could lead to central banks losing control,https://www.ft.com/content/b102160a-f326-4c17-8005-7d8b57bc7442
Insider trading,German court orders insider trader to repay almost 6 times his profits ,Former Union Investment fund manager jailed and told he must pay back €45m ,https://www.ft.com/content/dbd5ada5-b1f2-497c-81cb-d304b8ab5eb3
FT SeriesCan Boris Johnson change the face of Britain?,Boris Johnson’s post-Brexit immigration reforms start to bite,"Curbs on low-skilled foreign workers are hitting several sectors, including haulage",https://www.ft.com/content/3f9f6b1f-6716-45e3-9bdd-f49ccdac33dc
Victor Mallet,"Populists, animal-lovers and Frexiters vie for the Elysée","Macron and Le Pen may lead the polls for now, but French voters like to spring last-minute surprises ",https://www.ft.com/content/e588869a-ae7c-47c8-bfe2-b5b063ec5419
Elliott Management Corp,Activist fund Elliott targets Toshiba by building stake,People close to Japanese group say size does not exceed 5%,https://www.ft.com/content/8c1c3cf0-951d-4032-9826-8c4576824db5
Eurozone inflation,German inflation hits 29-year high of 4.1%,Economists expect overall eurozone inflation to reach 3.3% when figures are released on Friday,https://www.ft.com/content/e1a5ce6e-4c13-4ae7-a821-d15a094a4755
Global inflation,Stagflation fears intensify in signs of slowing growth,Economists have played down comparisons with the 1970s oil shock,https://www.ft.com/content/323f4d9f-016c-4510-aa55-ff2c50c8d9a8
Germany,Former concentration camp secretary arrested after attempting to flee justice,"Woman, aged 96, accused of being an accessory to the murder of 11,412 people went on the run",https://www.ft.com/content/2e0f936d-98a3-467e-bfa7-6532d904392a
Robert Shrimsley,Starmer’s Labour is serious about winning but there are no prizes for that,He may be leading the party back to the centre ground but he still has to fight for it once he gets there,https://www.ft.com/content/65f79493-f8d8-4627-89c1-5e08556b87b7
InterviewCyber Security,Blinken says US and EU could do ‘more and better’ on tech security ,US secretary of state seeks to heal rift over Aukus by urging greater sharing of information  ,https://www.ft.com/content/5733072b-b5db-4164-99f3-a62b249ffc97
UK Inequality,UK launches £500m support fund for vulnerable households over winter,Anti-poverty campaigners criticise as inadequate government scheme aimed at meeting daily needs,https://www.ft.com/content/f00deb7b-b3c3-46ed-b24b-1814dbb27bb2
Nicolas Sarkozy,Nicolas Sarkozy convicted of illegal campaign financing,Former French president receives one-year jail sentence to be served at home,https://www.ft.com/content/8edecb5b-e979-4131-b083-c238404c0ad6
Turkish politics,"Turkey and Russia could deepen defence and security ties, says Erdogan",President’s comments following meeting with Putin are likely to alarm Nato allies,https://www.ft.com/content/9cf80290-33c2-4f8a-9fcb-d2c3598b4132
Edward Luce,Joe Biden’s rapid retreat on climate ambitions,Rejecting a higher carbon price means renouncing the most effective tool for cutting emissions,https://www.ft.com/content/b5b2f97c-d693-4db9-b884-a905b8c1ac61
LexChinese business & finance,China banks/housing: underpinning duties mean underperforming stocks Premium content,"A mix of a slowing property market, rising corporate default rates and falling real estate collateral values has created toxic conditions",https://www.ft.com/content/756dd61e-7b0a-41b9-8de5-f3e1852e5531
Tax evasion and avoidance,US charges six Swiss bankers over tax fraud,Executives at IHAG and consultancy for super-rich accused of helping to hide $60m through offshore scheme,https://www.ft.com/content/519a1520-79bc-4b27-98c5-fe9de28b102b
Energy Source,The shale patch can’t fill jobs fast enough Premium content,"Plus, what the fossil fuel bull run means for energy transition and why natural gas shortages could push inflation higher",https://www.ft.com/content/6f2dd290-6e32-4f08-9c6b-11b7bef93ffe
FirstFT,FirstFT: US shutdown averted but Biden’s landmark legislation at risk,"Democrats avoid shutdown, Chinese manufacturing contracts and the US suffers car shortages",https://www.ft.com/content/55049d42-8a1c-42c1-b5d9-5107218761cd
Trade Secrets,WTO clambers towards an unambitious summit Premium content,Institution’s new boss Ngozi Okonjo-Iweala has injected energy but made limited progress,https://www.ft.com/content/50109953-45e8-4e01-8d2a-d543aa821a6e
FT MagazineSimon Kuper,"Europe won’t become a military power. What’s more, it shouldn’t","The continent should play to its strengths, from sanctions and diplomacy to soft power",https://www.ft.com/content/23b475f4-68eb-4f8e-9403-e7883deef510
News in-depthFT Series,Can Boris Johnson change the face of Britain?,The FT is examining whether the UK prime minister is pursuing reforms that will have a lasting impact,https://www.ft.com/content/c22147b4-24d5-4b8d-a8eb-ebdb180ebace
Free LunchMartin Sandbu,The real meaning of China’s Evergrande problem Premium content,The financial repercussions can be contained; the broad economy is more vulnerable,https://www.ft.com/content/6b6a888b-897c-4d71-99f8-d14a97271022
The FT ViewThe editorial board,Fumio Kishida needs to be a leader Japan can get behind,New prime minister has to set out a vision for the country’s future,https://www.ft.com/content/060843ec-fc2e-4d53-8040-68435c59c4e7
UK economic growth,UK economy grew faster than projected in second quarter,Upward revision supports case for BoE to start tightening monetary policy,https://www.ft.com/content/b1840226-0147-40e8-84b2-814fa8d28917
Chinese economy,China manufacturing activity contracts as power shortages bite,PMI figures indicate weakness across economy buffeted by property slowdown and pandemic,https://www.ft.com/content/37062e9d-a933-4f61-9115-1f9c4dd1c6d2
Europe Express,Young prime minister pledges to clean up Moldova Premium content,Political stars align for Europe’s poorest country bedevilled by corruption ,https://www.ft.com/content/fe24f4b4-59b2-43b3-8fa9-9f51908ca7c2
Serious MoneyClaer Barrett,Student loans: a harsh financial lesson  ,Tax raid on ‘Generation Rent’ could result in ‘Generation No Pension’ ,https://www.ft.com/content/18a57ffa-52fb-4cb7-9707-53678a3101f6
News in-depthCovid-19 vaccines,Confusion abounds as US rolls out scaled-back booster campaign,Americans are perplexed by weeks of conflicting messages and differing state guidelines ,https://www.ft.com/content/0376e5d9-7488-49e8-85e9-a356e6132e1b
The Big Read,‘A win for Pakistan’: Imran Khan gambles on Taliban ties,Islamabad’s aim to re-establish its strategic role in the region could be undermined by support for the Islamist government in Kabul,https://www.ft.com/content/257853d9-acb6-432b-92d4-a1b45335a388
The Art Market,Osinachi to offer first African artist’s NFT at Christie’s Europe,Centuries of climate concern at Frieze; Brooklyn Museum and LACMA share female photographer collection; LA’s David Kordansky expands to New York,https://www.ft.com/content/5c9a3698-cb90-48ee-bcfd-1ff5fe42496c
News in-depthGerman politics,German businesses optimistic about potential three-party coalition,Bosses look to new kingmakers — Greens and Free Democrats — to push for a more modern and greener economy,https://www.ft.com/content/c9804687-2c52-4ee6-8ee5-f3b1b7b11efc
Mali,Ivory Coast’s president warns against Russian security group’s involvement in Mali,Alassane Ouattara says hiring Wagner is not the answer in fight against Islamist insurgents,https://www.ft.com/content/b08d4d4e-2509-4a01-a2c3-2fe857a04a13
Gordon Brown,Gordon Brown: universal credit cut deepens the UK’s divide,Benefit rules undermine efforts to get unemployed back to work,https://www.ft.com/content/e80ae22c-b774-4fe4-ae75-7783f158ce7b
IPOs,Hong Kong faces worst quarter for stock listings since pandemic,IPO freeze underscores city’s vulnerability to Beijing crackdown on tech sector,https://www.ft.com/content/40436534-cd31-4959-a7c1-95065e281046
LexAccounting & Consulting services,Accountant pay: student loan cap teaches hard lesson Premium content,UK government plans will leave most graduate bean-counters paying more over their careers,https://www.ft.com/content/22c65b8c-ac15-445d-afb9-0ce412879c96
Personal Finance,White-collar crime: life after release,Former convicts on how they rebuilt their lives after serving time,https://www.ft.com/content/0db754ae-e5ed-49c4-b0fe-6ac84eba801b
Philip Stephens,The west is the author of its own weakness,China presents a threat to the liberal global order but the bigger danger lies in the discrediting of democracy,https://www.ft.com/content/9779fde6-edc6-4d4c-b532-fc0b9cad4ed9
News in-depthAutomobiles,US car shortage hits everyone from dealers to junkyards,Semiconductor supply problems are having widespread effect in a country with 276m registered vehicles,https://www.ft.com/content/70eeb13b-6175-4ac7-a65a-041c473455ee
Federal Reserve succession,Jay Powell faces rockier path to second Fed term after tough week,Chair confronts criticism from progressives and trading scandal at central bank as Biden nears decision,https://www.ft.com/content/99acd824-9644-4b4f-8d7e-389586abf65a
FT News Briefing podcast10 min listen,What’s next for Huawei?  ,Hong Kong could see its worst quarter for new listings since the early days of the pandemic,https://www.ft.com/content/8f5c72b1-242c-44d8-8e6a-55c5d1bb46c7
Rachman Review podcast21 min listen,Germany’s traffic light coalition,Scholz's narrow election win gives initiative to smaller parties,https://www.ft.com/content/cd2cce8d-155c-46b5-ba7f-f4a3b67c2a76
Helen Thomas,Start-up finance is a closed shop for women,Venture capital industry remains heavily skewed towards male-founded businesses ,https://www.ft.com/content/60caa57e-d40d-4d6f-974a-1d14a3798d27
Investing in Xi’s China,Goldman Sachs was poised to triumph in China. What happened?,Wall Street bank is close to taking control of its Chinese subsidiary but new challenges have emerged,https://www.ft.com/content/ad1a8608-1069-4f9b-bf26-5dd9ae03f0a8
US politics & policy,Biden locked in ‘precarious’ talks to save landmark legislation,White House scrambles to rescue centrepiece of US president’s domestic agenda ,https://www.ft.com/content/36ce0649-79c0-46ea-ac84-177883f3b946
Chinese business & finance,Big investors plan to cut exposure to Chinese assets on regulatory worries,"Pension funds and insurers among those becoming more cautious, Invesco says",https://www.ft.com/content/090f3430-6b25-49cb-a38c-2870dd038a16
News in-depthHong Kong politics,Hong Kong’s ‘loyal critic’ faces tough test as Beijing targets media ,Media mogul Yu Pun-hoi treads carefully between mollifying China and hanging on to readers,https://www.ft.com/content/bd413b3d-83bf-403e-95db-be3244698b13
Insider trading,Ex-Goldman compliance analyst accused of insider trading,"SEC alleges employee in Warsaw office made $471,000 from illicit trades",https://www.ft.com/content/c0b5b99a-0531-48d5-85d8-f18d0510f69a
Coronavirus pandemic,Coronavirus latest: US Covid cases and hospitalisations ease during September - as it happened,"‘Concerted effort’ is needed to stop city becoming unemployment capital of UK, think-tank warns",https://www.ft.com/content/51cdd237-1bc4-47aa-b198-d45bb4bbcfd6
UK employment,Older workers and Londoners face highest risk as furlough scheme ends,Transitional aid for students will run until 2023 but teachers warn lateness of guidance could limit benefits,https://www.ft.com/content/ce615d77-fc5c-4ca7-b078-e8c4a401788d
